MTR,Target,Weight
Solyc02g077370.1,Solyc09g005080.1,0.920416032
Solyc02g077370.1,Solyc03g115930.1,0.918853742
Solyc02g077370.1,Solyc02g078900.2,0.898510166
Solyc02g077370.1,Solyc06g071810.1,0.897379754
Solyc02g077370.1,Solyc03g122360.2,0.897238036
Solyc02g077370.1,Solyc03g122350.2,0.897238036
Solyc02g077370.1,Solyc06g075690.2,0.897165087
Solyc02g077370.1,Solyc08g075540.2,0.893261642
Solyc02g077370.1,Solyc07g008620.1,0.884518843
Solyc02g077370.1,Solyc02g083350.2,0.882833359
Solyc02g077370.1,Solyc01g112220.2,0.881677006
Solyc02g077370.1,Solyc01g111440.2,0.880041859
Solyc02g077370.1,Solyc07g056200.2,0.875358622
Solyc02g077370.1,Solyc09g008010.2,0.868233201
Solyc02g077370.1,Solyc09g065610.1,0.866017126
Solyc02g077370.1,Solyc08g007460.2,0.86506466
Solyc02g077370.1,Solyc01g109460.2,0.859464304
Solyc02g077370.1,Solyc05g050800.2,0.859180035
Solyc02g077370.1,Solyc10g079930.1,0.856982491
Solyc02g077370.1,Solyc07g006280.2,0.856696463
Solyc02g077370.1,Solyc02g069800.1,0.854808975
Solyc02g077370.1,Solyc09g082980.2,-0.852761666
Solyc02g077370.1,Solyc10g085010.1,0.851565864
Solyc02g077370.1,Solyc06g069570.2,0.851168468
Solyc02g077370.1,Solyc03g115920.2,0.844921772
Solyc02g077370.1,Solyc06g068740.2,0.84240373
Solyc02g077370.1,Solyc09g075460.2,-0.841472644
Solyc02g077370.1,Solyc05g006780.2,0.836568548
Solyc02g077370.1,Solyc06g030470.2,0.834210576
Solyc02g077370.1,Solyc08g068770.1,0.832197873
Solyc02g077370.1,Solyc09g082240.2,0.828925905
Solyc02g077370.1,Solyc09g082250.2,0.828925905
Solyc02g077370.1,Solyc06g005890.2,0.822983343
Solyc02g077370.1,Solyc07g043510.2,0.814860996
Solyc02g077370.1,Solyc07g054830.2,0.814377753
Solyc02g077370.1,Solyc08g080410.2,0.813927784
Solyc02g077370.1,Solyc09g074320.2,0.811642044
Solyc02g077370.1,Solyc08g077790.2,0.810538186
Solyc02g077370.1,Solyc09g090730.1,0.806176959
Solyc02g077370.1,Solyc03g117860.2,0.805829559
Solyc02g077370.1,Solyc06g050810.2,0.804443266
Solyc02g077370.1,Solyc06g050930.2,0.802341209
Solyc02g077370.1,Solyc05g007140.2,0.8021795
Solyc02g077370.1,Solyc03g097110.2,0.799622114
Solyc02g077370.1,Solyc10g055200.1,0.798545749
Solyc02g077370.1,Solyc06g072110.2,0.796791854
Solyc02g077370.1,Solyc01g104740.2,0.796672213
Solyc02g077370.1,Solyc01g107290.2,0.795832038
Solyc02g077370.1,Solyc06g069190.2,0.793975264
Solyc02g077370.1,Solyc10g044780.1,-0.793425976
Solyc02g077370.1,Solyc10g012080.2,0.78469264
Solyc02g077370.1,Solyc11g071840.1,-0.784644621
Solyc02g077370.1,Solyc07g007870.2,0.782217811
Solyc02g077370.1,Solyc10g008600.2,-0.780467649
Solyc02g077370.1,Solyc01g104080.2,0.777306912
Solyc02g077370.1,Solyc07g056500.2,0.775817605
Solyc02g077370.1,Solyc12g044940.1,0.775647917
Solyc02g077370.1,Solyc12g045030.1,0.775647917
Solyc02g077370.1,Solyc01g086690.2,0.773754311
Solyc02g077370.1,Solyc01g086680.2,0.773754311
Solyc02g077370.1,Solyc07g053830.2,0.770121743
Solyc02g077370.1,Solyc08g075450.2,-0.762532012
Solyc02g077370.1,Solyc12g006380.1,0.761069763
Solyc02g077370.1,Solyc02g086870.2,0.761058939
Solyc02g077370.1,Solyc12g088370.1,0.760714626
Solyc02g077370.1,Solyc03g114890.2,0.760541812
Solyc02g077370.1,Solyc01g107820.2,0.759831529
Solyc02g077370.1,Solyc05g005900.2,-0.75298832
Solyc02g077370.1,Solyc05g005890.2,-0.75298832
Solyc02g077370.1,Solyc04g018110.1,0.75135975
Solyc02g077370.1,Solyc11g028010.1,0.751187223
Solyc02g077370.1,Solyc11g017000.1,0.750371424
Solyc02g077370.1,Solyc08g062610.2,-0.749986845
Solyc02g077370.1,Solyc05g011920.2,0.74263516
Solyc02g077370.1,Solyc09g011540.2,0.74191143
Solyc02g077370.1,Solyc09g011590.2,0.739653656
Solyc02g077370.1,Solyc03g083270.2,-0.737057449
Solyc02g077370.1,Solyc10g086280.1,0.736814018
Solyc02g077370.1,Solyc02g061770.2,0.736008988
Solyc02g077370.1,Solyc12g015820.1,-0.732231823
Solyc02g077370.1,Solyc12g015910.1,-0.732231823
Solyc02g077370.1,Solyc01g009040.2,-0.725169338
Solyc02g077370.1,Solyc03g007210.2,0.723230119
Solyc02g077370.1,Solyc09g010400.2,-0.722993356
Solyc02g077370.1,Solyc11g068710.1,0.720743519
Solyc02g077370.1,Solyc03g113220.2,0.719595247
Solyc02g077370.1,Solyc05g013660.2,0.719225614
Solyc02g077370.1,Solyc07g007370.2,0.718066138
Solyc02g077370.1,Solyc09g020140.2,0.717681215
Solyc02g077370.1,Solyc11g006540.1,0.705428533
Solyc02g077370.1,Solyc10g083360.1,0.704387759
Solyc02g077370.1,Solyc01g006510.2,-0.699414809
Solyc02g077370.1,Solyc06g008330.1,-0.698529227
Solyc02g077370.1,Solyc07g049530.2,0.695330686
Solyc02g077370.1,Solyc10g008460.2,0.692976778
Solyc02g077370.1,Solyc10g006560.2,-0.691083828
Solyc02g077370.1,Solyc12g098950.1,-0.690806109
Solyc02g077370.1,Solyc06g074770.2,-0.688216762
Solyc02g077370.1,Solyc09g090120.2,-0.685575716
Solyc02g077370.1,Solyc10g005560.2,0.684724843
Solyc02g077370.1,Solyc11g006770.1,0.682878176
Solyc02g077370.1,Solyc10g007440.2,-0.682523058
Solyc02g077370.1,Solyc12g044440.1,-0.682523058
Solyc02g077370.1,Solyc06g062860.2,0.680532892
Solyc02g077370.1,Solyc08g081310.2,-0.677047209
Solyc02g077370.1,Solyc07g044880.2,-0.676577601
Solyc02g077370.1,Solyc06g071540.2,0.676208852
Solyc02g077370.1,Solyc09g011300.2,-0.67484313
Solyc02g077370.1,Solyc07g066040.1,-0.673726627
Solyc02g077370.1,Solyc07g064310.1,-0.673045347
Solyc02g077370.1,Solyc05g051070.2,0.670731981
Solyc02g077370.1,Solyc11g069700.1,0.668961349
Solyc02g077370.1,Solyc07g062970.2,0.668938566
Solyc02g077370.1,Solyc03g096090.2,-0.666232822
Solyc02g077370.1,Solyc03g114800.1,-0.665837687
Solyc02g077370.1,Solyc06g053760.2,-0.662425475
Solyc02g077370.1,Solyc01g067800.2,0.660414814
Solyc02g077370.1,Solyc01g102490.2,0.658668449
Solyc02g077370.1,Solyc06g065480.2,0.656095396
